Product ID,Product Name,Product Amount,Product Divisor,Customer Email,Product Currency,Total Order Value,Inventory Level
1289424817,"Bumblebee Gund art print, kitsch, vintage, retro, kawaii, bee, wall hanging, rubber face doll, vintage toy, happy, yellow",1050,100,,USD,,9
1841685004,"Baseball, San Diego, Logo, Funny, Drinking, City Connect, Beerfest, Enamel Pin",800,100,,USD,,50
939685509,ON SALE Beaded Headbands/ African Headbands/ Kenyan Beaded Headband/ Hair Band/ Beaded Hair Band/ Masai Hair Band/ Handmade Hair Band/,1700,100,,USD,,50
1790568895,NY Cuffed Beanie with Embroidery - NY Beanie - New York Beanie - NY Cuffed Beanie - New York Gift,2800,100,,USD,,6993
1539175876,AGF Lovey Dovey Fat Quarter Bundle 12 pieces  Art Gallery Holiday Bundle,4400,100,,USD,,3
1684084069,"Mr and Mrs Engraved Tumbler Gift Set, Personalized 20oz Bride Groom Gift Box, Gift Basket for Newlyweds, Unique Wedding Present",5000,100,,USD,,71
1467641399,Sunflowers Floral Printed Liverpool Bullet Textured Fabric by the yard 4Way Stretch Solid Strip Thick Knit Jersey Liverpool Fabric AA1668,700,100,,USD,,84910
1855887977,Turtle Retractable Badge Reel,1450,100,,USD,,1
649934020,"Christmas Stockings Name Tags Wooden Names for Stocking, Family Personalized Stocking Tag Decor for Holidays, Rustic Chic (Item - STS200)",700,100,,USD,,984
1567823841,PRINTABLE Mythological Landscape Painting - Digital Print Download - Vintage Impressionist Landscape Wall Art - Flying Dragon Home Decor,499,100,,GBP,,963
1169121912,Liverpool Bullet Textured Fabric by the yard 4Way Stretch Solid Strip Thick Knit Jersey Liverpool Fabric AA213  TBP102,700,100,,USD,,84873
1649962295,"Make Heaven Crowded Svg Png, Elegant Boho Christian Quote Svg, Motivational Sleeve Shirt Design Png, Faith Png, Positive Quotes svg png",10000,100,,TRY,,938
1008690857,Book Stack Straw Topper STL File For 3D Printing,125,100,,USD,,55
1347220631,"Retirement Fork, Stick a Fork in Me, I&#39;m Done Fork, Hand Stamped Vintage Silver Fork, Engraved Retirement Gift with Date, Retirement Party",1800,100,,USD,,4
1789591870,"Christmas, Santa Clause, Vintage Christmas Wall Art, Christmas Oil Painting Printable Art, Gay Art Painting, Male Body Art, Art Poster Print",500,100,,USD,,93
1847810993,"Retro Mardi Gras PNG, Fleur De Lis Png, Brushstroke Mardi Gras Png, Glitter, Mardi Gras Coquette Png, King Cake Png, Louisiana Crawfish",350,100,,CAD,,997
1169580090,Memorial Listen to the Wind Chime | Sympathy Wind Chime | In Memory of Windchime | Personalized Bereavement Gift | Custom Memorial Gifts,5332,100,,USD,,7962
1840858840,"Coquette Mardi Gras Toddler Tee, Mardi Gras Girls Outfits, Custom Name Kids Shirt, New Orleans Carnival Bow Shirt, Louisiana Festival Shirt",1499,100,,USD,,48
1080391207,"Aquarium Floating Plant Corral - Including Rigid Plastic Corrals, Airline Corrals, and Fish Portals!",799,100,,USD,,254
1811248733,Bible Study BUNDLE Chapter Summary Template | Bible Study | Bible Template | Bible Summary | Reflection SOAP | Bible Notes | GoodNotes | PDF,450,100,,USD,,991
1839706203,"custom moroccan rug, berber rug 8x10, modern berber  funky red pink rug, boujaad checkered rug, funky large runner aesthetic woven",233375,100,,MAD,,6
1778584277,"Nice Bum Art Print | Funny Bold Neutral Bathroom Print, Typography Print, Funny bathroom art, black restroom decor, bedroom decor",800,100,,AUD,,755
1486004364,Dollhouse Jar Empty Amber Glass with Lid Short Wide for Miniature Shop or Kitchen,549,100,,USD,,12
1855888785,"NEW Boxwood Heart Wreath, Valentine&#39;s Day Decor, Valentines Gift Her",14500,100,,USD,,6
1675338226,Greyhound Martingale Collar 1 1/2&quot; Blue Pebbles,3500,100,,NZD,,1
